t_sec,x,y,yaw,rho,yaw_err
0.186597,1.960522,0.977727,1.480284,0.045328,0.089716
0.212883,1.960522,0.977727,1.480284,0.045328,0.089716
0.256056,1.960522,0.977727,1.480284,0.045328,0.089716
0.293323,1.960522,0.977727,1.480284,0.045328,0.089716
0.328536,1.960522,0.977727,1.480284,0.045328,0.089716
0.367331,1.960522,0.977727,1.480284,0.045328,0.089716
0.404899,1.960522,0.977727,1.480284,0.045328,0.089716
0.439299,1.960522,0.977727,1.480284,0.045328,0.089716
0.482346,1.960522,0.977727,1.480284,0.045328,0.089716
0.519649,1.960522,0.977727,1.480284,0.045328,0.089716
0.554512,1.960522,0.977727,1.480284,0.045328,0.089716
0.589804,1.960522,0.977727,1.480284,0.045328,0.089716
0.624785,1.960522,0.977727,1.480284,0.045328,0.089716
0.666950,1.960522,0.977727,1.480284,0.045328,0.089716
0.703339,1.960522,0.977727,1.480284,0.045328,0.089716
0.738902,1.960522,0.977727,1.480284,0.045328,0.089716
0.773723,1.960522,0.977727,1.480284,0.045328,0.089716
0.809296,1.960522,0.977727,1.480284,0.045328,0.089716
0.852332,1.960522,0.977727,1.480284,0.045328,0.089716
0.887679,1.960522,0.977727,1.480284,0.045328,0.089716
